Date,Open,High,Low,Close,Volume
15/05/2018 09:00:00,1064.3,1066,1064.3,1065.9,104
15/05/2018 09:15:00,1065.2,1066.2,1065.2,1066.2,205
15/05/2018 09:30:00,1062.5,1065.7,1062.5,1065.7,167
15/05/2018 09:45:00,1064.6,1068.9,1064.6,1068.5,98
15/05/2018 10:00:00,1066,1068.7,1066,1068.5,98
15/05/2018 10:15:00,1065.7,1067,1065.7,1066.9,46
15/05/2018 10:30:00,1065.1,1066.5,1065,1066.5,64
15/05/2018 10:45:00,1065.7,1068.6,1065.7,1068.6,69
15/05/2018 11:00:00,1065.5,1070,1065.5,1070,183
15/05/2018 11:15:00,1069,1074.7,1069,1074.7,208
15/05/2018 11:30:00,1070.4,1073,1070.4,1073,89
15/05/2018 13:00:00,1073,1078,1073,1077.9,98
15/05/2018 13:15:00,1075.7,1078.8,1075.4,1078.6,123
15/05/2018 13:30:00,1075,1079,1075,1079,220
15/05/2018 13:45:00,1076.4,1080.2,1076,1080,198
15/05/2018 14:00:00,1067,1078.5,1067,1078,255
15/05/2018 14:15:00,1061.1,1071.5,1058.2,1071.5,494
15/05/2018 14:30:00,1058.1,1063,1058,1062,193
15/05/2018 14:45:00,1058,1058,1058,1058,103
16/05/2018 09:00:00,1057,1058,1057,1057.9,72
16/05/2018 09:15:00,1054.7,1057.8,1054.7,1057.5,171
16/05/2018 09:30:00,1056,1059,1056,1059,169
16/05/2018 09:45:00,1059,1061.5,1059,1061.5,164
16/05/2018 10:00:00,1058,1062,1058,1061.8,115
16/05/2018 10:15:00,1060,1063.5,1060,1063.5,70
16/05/2018 10:30:00,1055,1061,1055,1060.8,286
16/05/2018 10:45:00,1053,1056,1052.1,1056,249
16/05/2018 11:00:00,1055,1058.9,1055,1058,182
16/05/2018 11:15:00,1054,1058.4,1053.5,1058.4,136
16/05/2018 11:30:00,1050.2,1053.5,1050,1053.1,166
16/05/2018 13:00:00,1049.1,1051.5,1049,1051.4,158
16/05/2018 13:15:00,1045,1052.9,1045,1052.9,413
16/05/2018 13:30:00,1044,1048.5,1043.4,1048,512
16/05/2018 13:45:00,1039,1048,1039,1047,590
16/05/2018 14:00:00,1039,1045,1038,1045,563
16/05/2018 14:15:00,1037,1043.6,1036.3,1043.6,528
16/05/2018 14:30:00,1036.3,1041.4,1036.3,1041,315
16/05/2018 14:45:00,1040.8,1040.8,1040.8,1040.8,175
17/05/2018 09:00:00,1038.1,1041,1038.1,1040.8,406
17/05/2018 09:15:00,1035.5,1040.5,1035,1040,613
17/05/2018 09:30:00,1032,1035.5,1032,1035.5,821
17/05/2018 09:45:00,1034,1036.5,1033,1036.5,1193
17/05/2018 10:00:00,1029.3,1035,1027,1035,596
17/05/2018 10:15:00,1025,1030.5,1024.1,1030,1205
17/05/2018 10:30:00,1025.5,1029.8,1025.1,1029.5,909
17/05/2018 10:45:00,1024,1027,1022.5,1026.8,766
17/05/2018 11:00:00,1023,1030.4,1023,1029.9,970
17/05/2018 11:15:00,1028.2,1032,1028.2,1031,799
17/05/2018 11:30:00,1026.2,1033.9,1026,1033.9,563
17/05/2018 13:00:00,1033.5,1036.8,1033.5,1036.1,1069
17/05/2018 13:15:00,1026.5,1033.8,1026.2,1033.5,1752
17/05/2018 13:30:00,1021.1,1028,1020.5,1027.9,1907
17/05/2018 13:45:00,1022.2,1028,1022,1028,1769
17/05/2018 14:00:00,1020.1,1027.5,1020.1,1026,1946
17/05/2018 14:15:00,1012.2,1025.9,1012,1025.5,2848
17/05/2018 14:30:00,1013,1018,1012.6,1017.3,1197
17/05/2018 14:45:00,1010,1010,1010,1010,988
18/05/2018 09:00:00,1013,1015,1013,1014.4,1749
18/05/2018 09:15:00,1013,1015.5,1012.5,1015.3,1907
18/05/2018 09:30:00,1013.5,1016,1013.2,1015.5,2944
18/05/2018 09:45:00,1010.6,1014.5,1009,1014.4,2767
18/05/2018 10:00:00,1008.1,1012.8,1008.1,1012.7,4150
18/05/2018 10:15:00,1010.3,1014.2,1010.2,1014.2,2275
18/05/2018 10:30:00,1009,1014,1008.7,1013.4,3429
18/05/2018 10:45:00,1003,1009.2,1002.6,1008.7,4639
18/05/2018 11:00:00,1003.5,1007.4,1003,1006.9,3187
18/05/2018 11:15:00,999.2,1003.9,998.9,1003.5,3851
18/05/2018 11:30:00,998.1,1000.7,997.7,1000.7,2102
18/05/2018 13:00:00,999.5,1002.4,997.3,1002.4,1690
18/05/2018 13:15:00,994,998.5,993.5,998,4977
18/05/2018 13:30:00,995.5,1001,995.5,1000.5,3701
18/05/2018 13:45:00,997.8,1011,997.2,1011,6352
18/05/2018 14:00:00,1002,1011,1001,1009,6741
18/05/2018 14:15:00,1007,1026,1006,1026,7951
18/05/2018 14:30:00,1025,1029.8,1024.5,1029,3806
18/05/2018 14:45:00,1026.9,1026.9,1026.9,1026.9,1704
21/05/2018 09:00:00,1027.5,1028.7,1027.5,1028.7,1068
21/05/2018 09:15:00,1025.7,1029.4,1025.2,1029.3,2220
21/05/2018 09:30:00,1024,1026.6,1023.2,1026.6,2575
21/05/2018 09:45:00,1025.7,1028.9,1025.5,1028.1,2505
21/05/2018 10:00:00,1021,1025.5,1020.3,1025.1,3096
21/05/2018 10:15:00,1021.5,1025.4,1020.6,1025,2640
21/05/2018 10:30:00,1017.7,1023,1017.5,1022,4737
21/05/2018 10:45:00,1018.1,1024.4,1018,1023.5,4916
21/05/2018 11:00:00,1022.5,1028.4,1022.5,1028.4,6674
21/05/2018 11:15:00,1027.1,1033,1027,1032.5,6053
21/05/2018 11:30:00,1028,1032.4,1027.7,1031.9,1905
21/05/2018 13:00:00,1032,1034.9,1031,1034.9,2431
21/05/2018 13:15:00,1021,1032.8,1020,1032.8,7122
21/05/2018 13:30:00,1015,1023.6,1014.1,1020,7854
21/05/2018 13:45:00,1013.1,1022.9,1012,1022.9,5996
21/05/2018 14:00:00,1005,1015.5,1004.8,1015,7905
21/05/2018 14:15:00,998.1,1012.6,997.2,1007.3,6961
21/05/2018 14:30:00,997,1003,996,1001.3,2811
21/05/2018 14:45:00,992.5,992.5,992.5,992.5,1556
22/05/2018 09:00:00,988.7,991.8,988.2,990.3,1407
22/05/2018 09:15:00,986.5,991.5,986,991,3442
22/05/2018 09:30:00,980.6,991.5,979.1,990.6,4825
22/05/2018 09:45:00,980.6,986,980.1,986,4602
22/05/2018 10:00:00,983.5,989.6,982.2,989,4088
22/05/2018 10:15:00,984,989.5,983.5,988.5,4028
22/05/2018 10:30:00,982,988.7,980.2,988.6,4379
22/05/2018 10:45:00,988.6,996.5,988.5,996,6226
22/05/2018 11:00:00,983.1,996,982.5,994,6282
22/05/2018 11:15:00,973.9,984.7,973,984.1,6838
22/05/2018 11:30:00,968,977,966.8,976.8,2149
22/05/2018 13:00:00,964.4,968,963.5,967,2971
22/05/2018 13:15:00,964.1,973,963,973,5134
