Date,Open,High,Low,Close,Volume
15/05/2018 09:00:00,1066,1066,1065,1065,50
15/05/2018 09:01:00,1064.3,1064.3,1064.3,1064.3,1
15/05/2018 09:02:00,1065.9,1065.9,1065.5,1065.5,10
15/05/2018 09:03:00,1065.7,1065.7,1065,1065,15
15/05/2018 09:04:00,1065.7,1065.9,1064.5,1065.9,7
15/05/2018 09:05:00,1065,1065.7,1065,1065,6
15/05/2018 09:06:00,1065.7,1065.9,1065.7,1065.9,12
15/05/2018 09:07:00,1066,1066,1065.9,1065.9,3
15/05/2018 09:08:00,1065.9,1066,1065.9,1065.9,7
15/05/2018 09:09:00,1066,1066.2,1065.9,1065.9,25
15/05/2018 09:10:00,1065.9,1065.9,1065.9,1065.9,75
15/05/2018 09:11:00,1065.9,1065.9,1065.3,1065.3,12
15/05/2018 09:12:00,1065.3,1065.3,1065.3,1065.3,8
15/05/2018 09:13:00,1065.3,1065.3,1065.3,1065.3,1
15/05/2018 09:14:00,1066,1066,1066,1066,1
15/05/2018 09:15:00,1066.2,1066.2,1066.2,1066.2,1
15/05/2018 09:16:00,1066.2,1066.2,1066.2,1066.2,4
15/05/2018 09:17:00,1066.2,1066.2,1066.1,1066.2,21
15/05/2018 09:18:00,1066.2,1066.2,1066,1066.2,13
15/05/2018 09:19:00,1066,1066,1065.7,1065.7,5
15/05/2018 09:20:00,1065.6,1065.6,1065.5,1065.5,9
15/05/2018 09:21:00,1065.5,1065.5,1065.2,1065.2,20
15/05/2018 09:22:00,1065.2,1065.3,1065.2,1065.3,3
15/05/2018 09:23:00,1065.7,1065.7,1065,1065,31
15/05/2018 09:24:00,1064.5,1064.5,1064.5,1064.5,5
15/05/2018 09:26:00,1065.7,1065.7,1065.7,1065.7,2
15/05/2018 09:27:00,1065,1065,1065,1065,11
15/05/2018 09:28:00,1065,1065,1065,1065,3
15/05/2018 09:29:00,1065,1065,1064.2,1064.2,14
15/05/2018 09:30:00,1064.2,1064.7,1064.2,1064.7,5
15/05/2018 09:31:00,1065,1065,1065,1065,46
15/05/2018 09:32:00,1064.7,1064.7,1063.7,1063.8,4
15/05/2018 09:33:00,1063,1063,1063,1063,13
15/05/2018 09:34:00,1062.5,1063,1062.5,1063,13
15/05/2018 09:35:00,1063,1063,1063,1063,5
15/05/2018 09:36:00,1063.3,1063.3,1063.3,1063.3,12
15/05/2018 09:37:00,1063.5,1063.5,1063.5,1063.5,3
15/05/2018 09:38:00,1064.9,1065,1064.9,1065,6
15/05/2018 09:39:00,1066,1066,1065.8,1065.8,13
15/05/2018 09:40:00,1065,1065,1065,1065,7
15/05/2018 09:41:00,1066.5,1066.5,1066,1066.4,10
15/05/2018 09:42:00,1064.6,1066.4,1064.6,1066.4,4
15/05/2018 09:43:00,1066.8,1067,1065.2,1065.2,4
15/05/2018 09:44:00,1067.5,1067.5,1067.5,1067.5,2
15/05/2018 09:45:00,1067,1067,1067,1067,6
15/05/2018 09:46:00,1067,1067,1067,1067,4
15/05/2018 09:48:00,1067,1067,1067,1067,7
15/05/2018 09:49:00,1067.5,1068,1067.5,1068,6
15/05/2018 09:50:00,1068,1068.9,1068,1068,14
15/05/2018 09:51:00,1068.3,1068.3,1068.3,1068.3,1
15/05/2018 09:52:00,1068.5,1068.5,1068.4,1068.5,14
15/05/2018 09:53:00,1068.7,1068.7,1068.5,1068.5,4
15/05/2018 09:54:00,1068,1068.5,1067,1067,8
15/05/2018 09:55:00,1067.3,1067.3,1067,1067,9
15/05/2018 09:56:00,1066.1,1066.1,1066,1066,4
15/05/2018 09:57:00,1066,1066,1066,1066,2
15/05/2018 09:58:00,1067,1067,1067,1067,9
15/05/2018 09:59:00,1067,1067,1067,1067,4
15/05/2018 10:00:00,1067.5,1067.5,1066.8,1066.8,8
15/05/2018 10:02:00,1067.8,1067.8,1067.8,1067.8,1
15/05/2018 10:03:00,1067,1067,1067,1067,2
15/05/2018 10:04:00,1067.8,1067.8,1067.8,1067.8,10
15/05/2018 10:05:00,1067,1067,1066.5,1067,22
15/05/2018 10:06:00,1066.9,1066.9,1066.5,1066.5,2
15/05/2018 10:07:00,1066.4,1066.4,1066,1066,13
15/05/2018 10:09:00,1067,1067,1066.9,1066.9,3
15/05/2018 10:10:00,1066.5,1066.5,1066.5,1066.5,1
15/05/2018 10:12:00,1066.3,1066.3,1066.3,1066.3,2
15/05/2018 10:13:00,1066.1,1066.1,1066.1,1066.1,1
15/05/2018 10:14:00,1066.2,1066.2,1066.2,1066.2,2
15/05/2018 10:15:00,1066.1,1066.1,1066,1066,2
15/05/2018 10:16:00,1066.5,1066.5,1066.5,1066.5,1
15/05/2018 10:19:00,1066.1,1066.1,1066,1066,12
15/05/2018 10:20:00,1066,1066,1065.9,1066,13
15/05/2018 10:21:00,1066.1,1066.1,1065.9,1065.9,6
15/05/2018 10:22:00,1065.7,1065.7,1065.7,1065.7,3
15/05/2018 10:23:00,1065.8,1065.8,1065.7,1065.8,4
